ds,yhat,yhat_lower,yhat_upper
2013-12-01,17752.17188842177,15428.743585172586,19998.344600527424
2014-01-01,20525.306292782934,18087.324083384225,22678.28490329405
2014-02-01,19343.700078455782,17180.272572210353,21642.1774127616
2014-03-01,16333.980112182275,13969.237165826808,18766.164280278444
2014-04-01,17324.55081545624,15065.477177151213,19625.83969694766
2014-05-01,18794.07745047132,16547.334000567513,21106.191412726366
2014-06-01,17384.50776259314,15164.854836439412,19660.537433692414
2014-07-01,16349.159674134382,14128.188049248487,18661.915856133128
2014-08-01,18001.577919002128,15714.107602782064,20109.266704851216
2014-09-01,25209.264471624163,23001.83497866588,27477.814545965703
2014-10-01,18612.43765805162,16561.297035818952,20916.602016138437
2014-11-01,18809.12399166315,16474.557381800932,21159.480924778178
2014-12-01,18931.90751367689,16791.681600854357,21255.680470740397
2015-01-01,22256.966423175152,19944.107159758914,24378.702823009913
2015-02-01,19919.10546505672,17687.16656946157,22167.810315956423
2015-03-01,17595.22230851154,15273.788462886992,19893.901965716683
2015-04-01,18490.974166867654,16276.761472666692,20710.090565174054
2015-05-01,19762.744112282024,17559.229809329834,21940.311268282614
2015-06-01,18728.456960422373,16527.308442397894,21111.308851509988
2015-07-01,17440.809588591117,15379.970958488495,19752.553531170786
2015-08-01,19316.338214573436,17124.677267052513,21554.756779005926
2015-09-01,26259.211894131993,24079.479192509436,28683.420008683363
2015-10-01,19389.209337065415,17265.349774669805,21580.86223839229
2015-11-01,20034.422639116285,17940.088806509255,22136.21080256605
2015-12-01,20120.75054372319,17975.22851263467,22354.631360395997
2016-01-01,23980.734138954467,21687.565489984063,26136.36213590488
2016-02-01,20488.977034422245,18439.01101048768,22941.34170363486
2016-03-01,18363.332709238206,16311.249852370043,20758.39512505153
2016-04-01,19524.832015825603,17097.937028467466,21739.698164553258
2016-05-01,21401.369578952887,19223.866009529967,23616.335919319932
2016-06-01,19243.969925547768,16879.072599642885,21501.245559344214
2016-07-01,18706.76807961275,16439.2394553899,21006.890246358413
2016-08-01,19919.105497193268,17720.951304909468,22097.68866300329
2016-09-01,27645.955725214357,25497.020178768584,29888.842918420247
2016-10-01,21652.013046440625,19382.670305814827,23824.048123911405
2016-11-01,20978.74088718987,18861.346732694597,23225.93362565395
2016-12-01,21181.543547093705,18805.047745730568,23398.700295497903
2017-01-01,23414.828189540298,21169.314454342395,25678.795862712035
2017-02-01,23418.028787929445,21123.098383244585,25507.663549237997
2017-03-01,19763.724967555627,17459.065013264233,22096.86232863914
2017-04-01,20870.363928966326,18661.101414617442,23185.327832187188
2017-05-01,22567.877072564028,20455.94293696181,24909.371189375186
